Last Name,First Name,Composition Title,File Name
Caccini,Francesca,"S'io men vo, mm.6-20 - Francesca Caccini",Caccini-Sio-men-vo-mm6-20.pdf
Canal,Marguerite,Idylle Op.20 - Marguerite Canal,Canal-Idyll.pdf
Casulana,Maddalena,Il vostro dipartir - Maddalena  Casulana,Casulana-Il-vostro-dipartir-SATB.pdf
Casulana,Maddalena,Stavasi il mio bel sol - Maddalena Casulana,Casulana-Stavasi-il-mio-bel-Sol_Casulana.pdf
Chaminade,Cécile,"Ballade Op.126 No.5, mm.1-10 - Cécile Chaminade",CC-Ballade-first-3-systems.pdf
Chaminade,Cécile,"Eglogue Op.126 No.4, mm.24-36 - Cécile Chaminade",CC-Eglogue-tonic-pedal.pdf
Chaminade,Cécile,Barcarolle Op.123 No.8 - Cécile Chaminade,Chaminade-Barcarolle-complete.pdf
Chaminade,Cécile,"Eglogue Op.126 No.4, mm.1-8 - Cécile Chaminade",Chaminade-Eglogue-Op126-No4-mm1-12.pdf
Chaminade,Cécile,Idylle Op.126 No.1 - Cécile Chaminade,Chaminade-Op126-Idylle-complete.pdf
Chaminade,Cécile,"Rigaudon Op.126 No.3, mm.1-18 - Cécile Chaminade",Chaminade-Op126-Rigaudon-opening18.pdf
Chaminade,Cécile,"Rigaudon Op.126 No.3, mm.36-44 - Cécile Chaminade",Rigaudon_Chaminade.pdf
Clarke,Rebecca,"The Cloths of Heaven, mm.1-6 - Rebecca Clarke",Clarke-Cloths-of-Heaven-mm1-6.pdf
Clarke,Rebecca,Shy One - Rebecca Clarke,Clarke-Shy-One.pdf
Clarke,Rebecca,"Sonata for Viola (or Cello) and Piano, mm.13-22 - Rebecca Clarke",Clarke-Sonata-I-mm13-22.pdf
Clarke,Rebecca,"Viola Sonata, mvt.1 complete - Rebecca Clarke",Clarke-Viola-Sonata-complete.pdf
Clarke,Rebecca,"Sonata for Viola (or Cello) and Piano Mvt.I, mm.39-46 - Rebecca Clarke",Clarke-Viola-Sonata-I-mm39-46.pdf
Clarke,Rebecca,"Sonata for Viola (or Cello) and Piano, mm.1-12 - Rebecca Clarke",Clarke-Viola-Sonata-mm1-8.pdf
Cotten,Elizabeth,Freight Train - Elizabeth Cotten,Cotten-Freight-Train-solo-line.pdf
Cotten,Elizabeth,"Oh Babe, It Ain't No Lie - Elizabeth Cotten",Cotten-Oh-Babe-solo-line.pdf
Crawford,Ruth,"Four Preludes for Piano No.6, mm.1-8 - Ruth Crawford Seeger",Crawford-Seeger-Piano-Prelude-6-mm1-8.pdf
de la Guerre,Elisabeth Claude Jacquet,Sonata No.2 in D Mvt.1 complete - Elisabeth-Claude Jacquet de la Guerre,De-la-Guerre-Sonata-No2-Mvt1-complete.pdf
de la Guerre,Elisabeth Claude Jacquet,Sonata No.2 in D Mvt.2 complete - Elisabeth-Claude Jacquet de la Guerre,De-la-Guerre-Sonata2-Mvt2-complete.pdf
de la Guerre,Elisabeth Claude Jacquet,Sonata No.2 in D Mvt.III complete - Elisabeth-Claude Jacquet de la Guerre,De-la-Guerre-Sonata2-Mvt3-complete.pdf
Farrenc,Louise,Mélodie pour le pianoforte - Louise Farrenc,Farrenc-Melodie-Aflat-Major.pdf
Farrenc,Louise,"Trio for Piano, Flute, and Cello, Op.45 Mvt.1 mm.79-99 - Louise Farrenc",Farrenc-Trio45-Mvt1-mm79-99.pdf
