File Name,Composition Title
Chaminade-Op126-Rigaudon-opening18.pdf,"Rigaudon Op.126 No.3, mm.1-18 - Cécile Chaminade"
Clarke-Cloths-of-Heaven-mm1-6.pdf,"The Cloths of Heaven, mm.1-6 - Rebecca Clarke"
Clarke-Shy-One.pdf,Shy One - Rebecca Clarke
Clarke-Sonata-I-mm13-22.pdf,"Sonata for Viola (or Cello) and Piano, mm.13-22 - Rebecca Clarke"
Clarke-Viola-Sonata-complete.pdf,"Viola Sonata, mvt.1 complete - Rebecca Clarke"
Clarke-Viola-Sonata-I-mm39-46.pdf,"Sonata for Viola (or Cello) and Piano Mvt.I, mm.39-46 - Rebecca Clarke"
Clarke-Viola-Sonata-mm1-8.pdf,"Sonata for Viola (or Cello) and Piano, mm.1-12 - Rebecca Clarke"
Cotten-Freight-Train-solo-line.pdf,Freight Train - Elizabeth Cotten
Cotten-Oh-Babe-solo-line.pdf,"Oh Babe, It Ain't No Lie - Elizabeth Cotten"
Crawford-Seeger-Piano-Prelude-6-mm1-8.pdf,"Four Preludes for Piano No.6, mm.1-8 - Ruth Crawford Seeger"
De-la-Guerre-Sonata-No2-Mvt1-complete.pdf,Sonata No.2 in D Mvt.1 complete - Elisabeth-Claude Jacquet de la Guerre
De-la-Guerre-Sonata2-Mvt2-complete.pdf,Sonata No.2 in D Mvt.2 complete - Elisabeth-Claude Jacquet de la Guerre
De-la-Guerre-Sonata2-Mvt3-complete.pdf,Sonata No.2 in D Mvt.III complete - Elisabeth-Claude Jacquet de la Guerre
Farrenc-Melodie-Aflat-Major.pdf,Mélodie pour le pianoforte - Louise Farrenc
Farrenc-Trio45-Mvt1-mm79-99.pdf,"Trio for Piano, Flute, and Cello, Op.45 Mvt.1 mm.79-99 - Louise Farrenc"
Grondahl-Idylles-2.pdf,Idylles Op.24 No.2 - Agathe Backer Grøndahl
Grondahl-Idylles-I.pdf,Idylles Op.24 No.1 - Agathe Backer Grøndahl
he-mele-lahui-hawaii-march.pdf,He Mele Lahui Hawaii (band arr.) - Lili'uokalani
Jaell-Impromptu.pdf,Impromptu - Marie Jaëll
Jessye-Aint-Got-Long-.pdf,Aint Got Long to Stay Heah - Eva Jessye
Jessye-Im-a-po-lil-orphan.pdf,I'm a Po' Lil' Orphan - Eva Jessye
Jessye-John-Saw-Holy-Numbah.pdf,John Saw De Holy Number - Eva Jessye
Jessye-March-Down-to-Jerdon.pdf,March Down to Jerdon - Eva Jessye
Jessye-Moses.pdf,When Moses Smote de Water - Eva Jessye
Jessye-So-I-Can-Write-My-Name.pdf,So I Can Write My Name - Eva Jessye
Jessye-Stan-Steady.pdf,Stan' Steady - Eva Jessye
Lang-Arabesque-complete.pdf,Arabesque - Josephine Lang
LeBeau-Romanze-1-20.pdf,"Romanze, Op.35 mm.1-20 - Luise Adolpha Le Beau"
LeBeau-Romanze-12-20.pdf,"Romanze, Op.35 mm.12-20 - Luise Adolpha Le Beau"
Leonarda_Mottetto_Iam_diu_dilecte.pdf,"Iam diu dilecte mi Jesus, Op.20 No.1 (1700) - Isabella Leonarda"
Likelike-Ainahau.pdf,Ainahau - Likelike
Likelike-Maikai-Waipio.pdf,Maika'i Waipi'o - Likelike
Liliuokalani-Aloha-Oe.pdf,Aloha Oe - Lili'uokalani
Liliuokalani-He-Mele-Lahui-Hawaii-.pdf,He Mele Lahui Hawaii (SATB) - Lili'uokalani
Liliuokalani-He-Mele-Lahui-Hawaii-1872ed.pdf,He Mele Lahui Hawaii (SATB 1872 publication) - Lili'uokalani
Mayer-Faust-Overture-Op46-mm5-13.pdf,"Faust Overture Op.45, mm.5-13 - Emilie Mayer"
